aalen, aale, aalt, aalte, aalte, aal, aalt, haben, geaalt
soupieren, soupiere, soupiert, soupierte, soupierte, soupier, soupiert, haben, soupiert
spachen, —, spacht, spachte, spachte, —, —, haben, gespacht
spachteln, spachtel, spachtelt, spachtelte, spachtelte, spachtel, spachtelt, haben, gespachtelt
spacken, spacke, spackt, spackte, spackte, spack, spackt, haben, gespackt
spalten, spalte, spaltet, spaltete, spaltete, spalte, spaltet, haben, gespalten
spannen, spanne, spannt, spannte, spannte, spanne, spannt, haben, gespannt
sparen, spare, spart, sparte, sparte, spare, spart, haben, gespart
spaten, spate, spatet, spatete, spatete, spat, spatet, haben, gespatet
spawnen, spawne, spawnt, spawnte, spawnte, spawne, spawnt, sein, gespawnt
spazieren, spaziere, spaziert, spazierte, spazierte, spaziere, spaziert, sein, spaziert
spaßen, spaße, spaßt, spaßte, spaßte, spaße, spaßet, haben, gespaßt
spechteln, spechtle, spechtelt, spechtelte, spechtelte, spechtle, spechtelt, haben, gespechtelt
spedieren, spediere, spediert, spedierte, spedierte, spedier, spediert, haben, spediert
speiben, speibe, speibt, spieb, spiebe, speibe, speibt, haben, gespieben
speicheln, speichel, speichelt, speichelte, speichelte, speichel, speichelt, haben, gespeichelt
speichern, speichere, speichert, speicherte, speicherte, speichere, speichert, haben, gespeichert
speien, speie, speit, spie, spie, speie, speit, haben, gespien
speisen, speise, speist, speiste, speiste, speise, speiset, haben, gespeist
spekulieren, spekuliere, spekuliert, spekulierte, spekulierte, spekulier, spekuliert, haben, spekuliert
spenden, spende, spendet, spendete, spendete, spende, spendet, haben, gespendet
spendieren, spendiere, spendiert, spendierte, spendierte, spendiere, spendiert, haben, spendiert
spengeln, spengle, spengelt, spengelte, spengelte, spengle, spengelt, haben, gespengelt
sperbern, sperbere, sperbert, sperberte, sperberte, sperber, sperbert, haben, gesperbert
sperren, sperre, sperrt, sperrte, sperrte, sperre, sperrt, haben, gesperrt
spezialisieren, spezialisiere, spezialisiert, spezialisierte, spezialisierte, spezialisier, spezialisiert, haben, spezialisiert
spezifizieren, spezifiziere, spezifiziert, spezifizierte, spezifizierte, spezifiziere, spezifiziert, haben, spezifiziert
spicken, spicke, spickt, spickte, spickte, spicke, spickt, haben, gespickt
spiegeln, spiegle, spiegelt, spiegelte, spiegelte, spiegle, spiegelt, haben, gespiegelt
spielen, spiele, spielt, spielte, spielte, spiel, spielt, haben, gespielt
spinksen, spinkse, spinkst, spinkste, spinkste, spinkse, spinkst, haben, gespinkst
spinnen, spinne, spinnt, spann, spönne, spinn, spinnt, haben, gesponnen
spionieren, spioniere, spioniert, spionierte, spionierte, spionier, spioniert, haben, spioniert
spitzeln, spitzele, spitzelt, spitzelte, spitzelte, spitzel, spitzelt, haben, gespitzelt
spitzeln, spitzele, spitzelt, spitzelte, spitzelte, spitzel, spitzelt, haben, gespitzelt
spitzen, spitze, spitzt, spitzte, spitzte, spitz, spitzt, haben, gespitzt
spleißen, spleiße, spleißt, spliss, splisse, spleiß, spleißt, haben, gesplissen
splittern, splittere, splittert, splitterte, splitterte, splittere, splittert, haben, gesplittert
spoilern, spoilere, spoilert, spoilerte, spoilerte, spoiler, spoilert, haben, gespoilert
spondieren, spondiere, spondiert, spondierte, spondierte, spondier, spondiert, haben, spondiert
sponsern, sponsere, sponsert, sponserte, sponserte, sponsere, sponsert, haben, gesponsert
spornen, sporne, spornt, spornte, spornte, sporn, spornt, haben, gespornt
sporteln, sportel, sportelt, sportelte, sportelte, sportel, sportelt, haben, gesportelt
sporteln, sportel, sportelt, sportelte, sportelte, sportel, sportelt, haben, gesportelt
spotten, spotte, spottet, spottete, spottete, spotte, spottet, haben, gespottet
spratzeln, spratzle, spratzelt, spratzelte, spratzelte, spratzle, spratzelt, haben, gespratzelt
spratzen, —, spratzt, spratzte, spratzte, —, —, haben, gespratzt
sprayen, spraye, sprayt, sprayte, sprayte, spray, sprayt, haben, gesprayt
sprechen, spreche, spricht, sprach, spräche, sprich, sprecht, haben, gesprochen
spreiten, spreite, spreitet, spreitete, spreitete, spreit, spreitet, haben, gespreitet
spreizen, spreize, spreizt, spreizte, spreizte, spreize, spreizt, haben, gespreizt
sprengen, sprenge, sprengt, sprengte, sprengte, sprenge, sprengt, haben, gesprengt
sprenkeln, sprenkle, sprenkelt, sprenkelte, sprenkelte, sprenkel, sprenkelt, haben, gesprenkelt
sprießen, sprieße, sprießt, sprießte, sprießte, sprieß, sprießt, haben, gesprießt
sprießen, sprieße, sprießt, spross, sprösse, sprieß, sprießt, sein, gesprossen
springen, springe, springt, sprang, spränge, springe, springt, sein, gesprungen
sprinten, sprinte, sprintet, sprintete, sprintete, sprint, sprintet, sein, gesprintet
spriten, sprite, spritet, spritete, spritete, sprite, spritet, haben, gespritet
spritzen, spritze, spritzt, spritzte, spritzte, spritz, spritzt, haben, gespritzt
sprudeln, sprudele, sprudelt, sprudelte, sprudelte, sprudele, sprudelt, sein, gesprudelt
sprühen, sprühe, sprüht, sprühte, sprühte, sprüh, sprüht, haben, gesprüht
spucken, spucke, spuckt, spuckte, spuckte, spucke, spuckt, haben, gespuckt
spuken, spuke, spukt, spukte, spukte, spuk, spukt, haben, gespukt
spulen, spule, spult, spulte, spulte, spul, spult, haben, gespult
spulgen, spulch mi, spulcht si, , dáád mi spulche, spulch di, spulcht aü, haben, gspulcht
spuren, spure, spurt, spurte, spurte, spure, spurt, haben, gespurt
spurten, spurte, spurtet, spurtete, spurtete, spurt, spurtet, haben, gespurtet
sputen, spute, sputet, sputete, sputete, sput, sputet, haben, gesputet
spähen, spähe, späht, spähte, spähte, spähe, späht, haben, gespäht
spänen, späne, spänt, spänte, spänte, spän, spänt, haben, gespänt
spötteln, spöttele, spöttelt, spöttelte, spöttelte, spöttel, spöttelt, haben, gespöttelt
spülen, spüle, spült, spülte, spülte, spül, spült, haben, gespült
spüren, spüre, spürt, spürte, spürte, spüre, spürt, haben, gespürt
staben, —, stabt, stabte, stabte, —, —, haben, gestabt
stabilisieren, stabilisiere, stabilisiert, stabilisierte, stabilisierte, stabilisier, stabilisiert, haben, stabilisiert
staffeln, staffle, staffelt, staffelte, staffelte, staffle, staffelt, haben, gestaffelt
staffieren, staffiere, staffiert, staffierte, staffierte, staffier, staffiert, haben, staffiert
stageln, stagle, stagelt, stagelte, stagelte, stagle, stagelt, haben, gestagelt
stagnieren, stagniere, stagniert, stagnierte, stagnierte, stagniere, stagniert, haben, stagniert
staken, stake, stakt, stakte, stakte, stak, stakt, haben, gestakt
staksen, stakse, stakst, stakste, stakste, staks, stakst, sein, gestakst
stalken, stalke, stalkt, stalkte, stalkte, stalke, stalkt, haben, gestalkt
stammeln, stammle, stammelt, stammelte, stammelte, stammle, stammelt, haben, gestammelt
stammen, stamme, stammt, stammte, stammte, stamme, stammt, haben, gestammt
stampfen, stampfe, stampft, stampfte, stampfte, stampf, stampft, haben, gestampft
standardisieren, standardisiere, standardisiert, standardisierte, standardisierte, standardisier, standardisiert, haben, standardisiert
standhalten, halte stand, hält stand, hielt stand, hielte stand, halt stand, haltet stand, haben, standgehalten
stanzen, stanze, stanzt, stanzte, stanzte, stanz, stanzt, haben, gestanzt
stapeln, staple, stapelt, stapelte, stapelte, staple, stapelt, haben, gestapelt
stapfen, stapfe, stapft, stapfte, stapfte, stapfe, stapft, sein, gestapft
starren, starre, starrt, starrte, starrte, starre, starrt, haben, gestarrt
starten, starte, startet, startete, startete, starte, startet, haben, gestartet
starten, starte, startet, startete, startete, starte, startet, sein, gestartet
stattfinden, finde statt, findet statt, fand statt, fände statt, finde statt, findet statt, haben, stattgefunden
stattgeben, gebe statt, gibt statt, gab statt, gäbe statt, gib statt, gebt statt, haben, stattgegeben
statuieren, statuiere, statuiert, statuierte, statuierte, statuiere, statuiert, haben, statuiert
stauben, staube, staubt, staubte, staubte, staube, staubt, haben, gestaubt
staubsaugen, staubsauge, staubsaugt, staubsaugte, staubsaugte, staubsauge, staubsaugt, haben, gestaubsaugt
stauchen, stauche, staucht, stauchte, stauchte, stauch, staucht, haben, gestaucht
stauen, staue, staut, staute, staute, stau, staut, haben, gestaut
staunen, staune, staunt, staunte, staunte, staun, staunt, haben, gestaunt
stechen, steche, sticht, stach, stäche, stich, stecht, haben, gestochen
stecken, stecke, steckt, steckte, steckte, steck, steckt, haben, gesteckt
stehen bleiben, bleibe stehen, bleibt stehen, blieb stehen, bliebe stehen, bleib stehen, bliebt stehen, sein, stehen geblieben
stehen, stehe, steht, stand, stünde, stehe, steht, haben, gestanden
stehenbleiben, bleibe stehen, bleibt stehen, blieb stehen, bliebe stehen, bleib stehen, bleibt stehen, sein, stehengeblieben
stehlen, stehle, stiehlt, stahl, stähle, stiehl, stehlt, haben, gestohlen
steigen, steige, steigt, stieg, stiege, steig, steigt, sein, gestiegen
steigern, steigere, steigert, steigerte, steigerte, steiger, steigert, haben, gesteigert
steinen, steine, steint, steinte, steinte, stein, steint, haben, gesteint
steinigen, steinige, steinigt, steinigte, steinigte, steinig, steinigt, haben, gesteinigt
stellen, stelle, stellt, stellte, stellte, stelle, stellt, haben, gestellt
stelzen, stelze, stelzt, stelzte, stelzte, stelze, stelzt, sein, gestelzt
stemmen, stemme, stemmt, stemmte, stemmte, stemm, stemmt, haben, gestemmt
stempeln, stemple, stempelt, stempelte, stempelte, stemple, stempelt, haben, gestempelt
stenographieren, stenographiere, stenographiert, stenographierte, stenographierte, stenographiere, stenographiert, haben, stenographiert
steppen, steppe, steppt, steppte, steppte, steppe, steppt, haben, gesteppt
sterben, sterbe, stirbt, starb, stürbe, stirb, sterbt, sein, gestorben
sterilisieren, sterilisiere, sterilisiert, sterilisierte, sterilisierte, sterilisier, sterilisiert, haben, sterilisiert
steuern, steuere, steuert, steuerte, steuerte, steuere, steuert, haben, gesteuert
stibitzen, stibitze, stibitzt, stibitzte, stibitzte, stibitz, stibitzt, haben, stibitzt
sticheln, stichele, stichelt, stichelte, stichelte, stichele, stichelt, haben, gestichelt
sticken, sticke, stickt, stickte, stickte, sticke, stickt, haben, gestickt
stieben, stiebe, stiebt, stob, stöbe, stiebe, stiebt, sein, gestoben
stiefeln, stiefele, stiefelt, stiefelte, stiefelte, stiefele, stiefelt, haben, gestiefelt
stiefeln, stiefle, stiefelt, stiefelte, stiefelte, stiefle, stiefelt, sein, gestiefelt
stieren, stiere, stiert, stierte, stierte, stiere, stiert, haben, gestiert
stierln, stierle, stierlt, stierlte, stierlte, stierle, stierlt, haben, gestierlt
stiften, stifte, stiftet, stiftete, stiftete, stifte, stiftet, haben, gestiftet
stilisieren, stilisiere, stilisiert, stilisierte, stilisierte, stilisier, stilisiert, haben, stilisiert
stillen, stille, stillt, stillte, stillte, still, stillt, haben, gestillt
stillhalten, halte still, hält still, hielt still, hielte still, halte still, haltet still, haben, stillgehalten
stilllegen, lege still, legt still, legte still, legte still, leg still, legt still, haben, stillgelegt
stillschweigen, schweige still, schweigt still, schwieg still, schwiege still, schweig still, schweigt still, haben, stillgeschwiegen
stillstehen, stehe still, steht still, stand still, stände still, steh still, steht still, haben, stillgestanden
stimmen, stimme, stimmt, stimmte, stimmte, stimm, stimmt, haben, gestimmt
stimulieren, stimuliere, stimuliert, stimulierte, stimulierte, stimulier, stimuliert, haben, stimuliert
stinken, stinke, stinkt, stank, stänke, stinke, stinkt, haben, gestunken
stippen, stippe, stippt, stippte, stippte, stipp, stippt, haben, gestippt
stipulieren, stipuliere, stipuliert, stipulierte, stipulierte, stipuliere, stipuliert, haben, stipuliert
stochen, stoche, stocht, stochte, stochte, stoch, stocht, haben, gestocht
stochern, stochere, stochert, stocherte, stocherte, stocher, stochert, haben, gestochert
stocken, stocke, stockt, stockte, stockte, stock, stockt, haben, gestockt
stolpern, stolpere, stolpert, stolperte, stolperte, stolpere, stolpert, sein, gestolpert
stolzieren, stolziere, stolziert, stolzierte, stolzierte, stolzier, stolziert, sein, stolziert
stopfen, stopfe, stopft, stopfte, stopfte, stopfe, stopft, haben, gestopft
stoppeln, stoppel, stoppelt, stoppelte, stoppelte, stoppel, stoppelt, haben, gestoppelt
stoppen, stoppe, stoppt, stoppte, stoppte, stopp, stoppt, haben, gestoppt
stornieren, storniere, storniert, stornierte, stornierte, storniere, storniert, haben, storniert
stottern, stottere, stottert, stotterte, stotterte, stotter, stottert, haben, gestottert
stoßen, stoße, stößt, stieß, stieße, stoße, stoßt, haben, gestoßen
stoßlüften, stoßlüfte, stoßlüftet, stoßlüftete, stoßlüftete, stoßlüfte, stoßlüftet, haben, stoßgelüftet
strafen, strafe, straft, strafte, strafte, strafe, straft, haben, gestraft
straffen, straffe, strafft, straffte, straffte, straff, strafft, haben, gestrafft
strafversetzen, —, —, —, —, —, —, haben, strafversetzt
strahlen, strahle, strahlt, strahlte, strahlte, strahl, strahlt, haben, gestrahlt
strammstehen, stehe stramm, steht stramm, stand stramm, stände stramm, steh stramm, steht stramm, haben, strammgestanden
strampeln, strample, strampelt, strampelte, strampelte, strampel, strampelt, haben, gestrampelt
stranden, strande, strandet, strandete, strandete, strande, strandet, sein, gestrandet
strangulieren, stranguliere, stranguliert, strangulierte, strangulierte, stranguliere, stranguliert, haben, stranguliert
strapazieren, strapaziere, strapaziert, strapazierte, strapazierte, strapaziere, strapaziert, haben, strapaziert
straucheln, strauchele, strauchelt, strauchelte, strauchelte, strauchle, strauchelt, sein, gestrauchelt
straufen, straufe, strauft, straufte, straufte, strauf, strauft, haben, gestrauft
strawanzen, strawanze, strawanzt, strawanzte, strawanzte, strawanz, strawanzt, haben, strawanzt
streamen, streame, streamt, streamte, streamte, stream, streamt, haben, gestreamt
streben, strebe, strebt, strebte, strebte, strebe, strebt, haben, gestrebt
strecken, strecke, streckt, streckte, streckte, streck, streckt, haben, gestreckt
streicheln, streichle, streichelt, streichelte, streichelte, streichle, streichelt, haben, gestreichelt
streichen, streiche, streicht, strich, striche, streiche, streicht, haben, gestrichen
streifen, streife, streift, streifte, streifte, streif, streift, haben, gestreift
streiken, streike, streikt, streikte, streikte, streik, streikt, haben, gestreikt
streiten, streite, streitet, stritt, stritte, streite, streitet, haben, gestritten
stremmen, stremme, stremmt, stremmte, stremmte, stremm, stremmt, haben, gestremmt
stressen, stresse, stresst, stresste, stresste, stress, stresst, haben, gestresst
streuen, streue, streut, streute, streute, streue, streut, haben, gestreut
streunen, streune, streunt, streunte, streunte, streun, streunt, haben, gestreunt
strichlieren, strichliere, strichliert, strichlierte, strichlierte, strichlier, strichliert, haben, strichliert
stricken, stricke, strickt, strickte, strickte, stricke, strickt, haben, gestrickt
striegeln, striegele, striegelt, striegelte, striegelte, striegele, striegelt, haben, gestriegelt
striezen, strieze, striezt, striezte, striezte, striez, striezt, haben, gestriezt
strippen, strippe, strippt, strippte, strippte, strippe, strippt, haben, gestrippt
strippen, strippe, strippt, strippte, strippte, strippe, strippt, haben, gestrippt
strippen, strippe, strippt, strippte, strippte, strippe, strippt, haben, gestrippt
strippen, strippe, strippt, strippte, strippte, strippe, strippt, haben, gestrippt
